celltype,gene,adj_p_val,lfc
Exc,SLC45A3,0.781256842,0.539863335
Exc,CXCR4,0.781256842,0.922391428
Exc,ACKR3,0.781158251,0.280692635
Exc,GYS2,0.781158251,0.364314535
Exc,C1QL1,0.781158251,0.789543954
Exc,C16orf92,0.781021139,-0.713564933
Exc,CLEC4M,0.780840796,-0.56386289
Exc,C3orf52,0.78083052,0.61850149
Exc,C20orf173,0.780723445,-0.226810196
Exc,TCP11X2,0.780548734,-0.114644016
Exc,BPIFA2,0.779650884,0.237929457
Exc,MIXL1,0.779598421,1.175033897
Exc,HRASLS2,0.779562555,0.729089452
Exc,TCIRG1,0.779277683,0.269246464
Exc,BTN1A1,0.77897622,-0.31622246
Exc,AWAT1,0.778670797,-0.067566838
Exc,HSPE1-MOB4,0.778655473,0.340394408
Exc,RRS1,0.778655473,-1.364246134
Exc,PVRL4,0.777860607,-0.064424932
Exc,KDF1,0.777649705,0.416286188
Exc,GIMAP2,0.777649705,0.57834627
Exc,DEPDC7,0.777260765,0.562816594
Exc,SLC39A5,0.776442736,0.250503919
Exc,RAB13,0.775686881,-0.464333036
Exc,PROB1,0.775634938,1.072964933
Exc,ACRBP,0.775441528,0.885382035
Exc,PLEKHG7,0.775291888,-0.551147213
Exc,VAMP5,0.775036651,0.67371883
Exc,PGR,0.775036651,0.827514704
Exc,DNAJB7,0.774700434,-0.84861552
Exc,F3,0.774208597,0.684202012
Exc,GPHB5,0.773898598,0.410935207
Exc,C11orf96,0.7737904,0.875691583
Exc,CLCN1,0.773552575,0.109237253
Exc,GBP5,0.773001955,0.260444431
Exc,NOD2,0.773001955,0.061191436
Exc,MIOX,0.772500128,-0.766679926
Exc,C1orf158,0.772398061,-0.778784776
Exc,MYL3,0.772295991,-1.681169395
Exc,BAIAP2,0.772111434,0.401338042
Exc,BCKDHA,0.770876431,0.283292919
Exc,SULT2A1,0.770260544,-0.054944067
Exc,TM4SF19-TCTEX1D2,0.769885137,0.354931233
Exc,PIK3CG,0.769727678,0.691313646
Exc,GALR3,0.769511497,0.283265249
Exc,UCP1,0.769344129,-0.262231093
Exc,FCMR,0.769332383,-0.496262754
Exc,LEFTY2,0.769320637,-0.638066423
Exc,RP3-468K18.5,0.767894869,0.323466347
Exc,FRMD7,0.767894869,1.225372888
Exc,CYP2D6,0.767072582,0.777499511
Exc,CAPN11,0.766553604,0.793652942
Exc,KLF15,0.765979029,0.824825882
Exc,FAM3D,0.765911663,0.05070185
Exc,RP5-1028K7.3,0.765911663,0.546322527
Exc,GNG10,0.765612016,0.519082895
Exc,TBC1D10C,0.765450285,1.574387599
Exc,HIST1H1D,0.765374131,0.793156743
Exc,SLAMF8,0.765297975,-0.271796895
Exc,CXCL12,0.765292059,0.299823515
Exc,FNDC8,0.765292059,0.056975195
Exc,SLC6A18,0.765273772,-0.800375122
Exc,SLX1A,0.765258894,0.073347184
Exc,CPT1B,0.765244231,0.02789286
Exc,HTR3D,0.765126984,0.114087794
Exc,FXYD3,0.764627155,0.188860198
Exc,PPP1R3B,0.763523329,0.232766577
Exc,ARL6IP1,0.762785763,0.812067711
Exc,LAIR2,0.760697561,0.361832905
Exc,CILP,0.760104544,0.475200182
Exc,MYH1,0.760104544,0.109615561
Exc,SPINK13,0.760012408,0.316628484
Exc,TMEM119,0.760012408,0.314644811
Exc,AKR1B15,0.759824393,-0.553606239
Exc,P2RY1,0.759805833,-0.218976642
Exc,ODF3B,0.759657923,-0.396145174
Exc,GOLGA8K,0.759596242,-0.756828754
Exc,RP11-20I23.3,0.758595765,0.330295629
Exc,NBPF6,0.757740521,0.301903255
Exc,GABRE,0.757556322,0.729173707
Exc,ZNF728,0.755714195,0.338857676
Exc,DTHD1,0.75506356,1.061921984
Exc,HPN,0.75506356,0.25863581
Exc,SLC6A2,0.753834292,0.157013646
Exc,ANTXRL,0.752786117,2.597388072
Exc,ADORA2A,0.752694499,1.079435103
Exc,GPR84,0.752648658,-0.269948315
Exc,ISY1,0.752648594,0.06307167
